company_id,cik_int,company_name,ticker,source,tier,quality_score,selection_source,rank_within_group
1,"1,045,810",NVIDIA CORP,NVDA,sp500,sp500_mega,"7,707.30",SNP500_TOP15,1
2,"789,019",MICROSOFT CORP,MSFT,sp500,sp500_mega,"6,703.60",SNP500_TOP15,2
3,"320,193",Apple Inc.,AAPL,sp500,sp500_mega,"6,499.60",SNP500_TOP15,3
4,"1,018,724",AMAZON COM INC,AMZN,sp500,sp500_mega,"3,674.80",SNP500_TOP15,4
5,"1,326,801","Meta Platforms, Inc.",META,sp500,sp500_mega,"2,733.70",SNP500_TOP15,5
6,"1,318,605","Tesla, Inc.",TSLA,sp500,sp500_mega,"2,144.80",SNP500_TOP15,6
7,"59,478",ELI LILLY & Co,LLY,sp500,sp500_large,"1,154.20",SNP500_TOP15,7
8,"1,403,161",VISA INC.,V,sp500,sp500_large,"1,031.40",SNP500_TOP15,8
9,"1,065,280",NETFLIX INC,NFLX,sp500,sp500_large,898,SNP500_TOP15,9
10,"1,341,439",ORACLE CORP,ORCL,sp500,sp500_large,883.7,SNP500_TOP15,10
11,"104,169",Walmart Inc.,WMT,sp500,sp500_large,840.5,SNP500_TOP15,11
12,"34,088",EXXON MOBIL CORP,XOM,sp500,sp500_large,835.7,SNP500_TOP15,12
13,"1,141,391",Mastercard Inc,MA,sp500,sp500_large,816,SNP500_TOP15,13
14,"200,406",JOHNSON & JOHNSON,JNJ,sp500,sp500_large,808.6,SNP500_TOP15,14
15,"909,832",COSTCO WHOLESALE CORP /NEW,COST,sp500,sp500_large,743.8,SNP500_TOP15,15
16,"1,276,520",GENWORTH FINANCIAL INC,[NULL],notable,notable_tier1,"1,435.09",QUALITY_TOP5,1
17,"813,762",ICAHN ENTERPRISES L.P.,[NULL],notable,notable_tier1,"1,359.44",QUALITY_TOP5,2
18,"1,273,813",ASSURED GUARANTY LTD,[NULL],notable,notable_tier1,"1,300.45",QUALITY_TOP5,3
19,"890,926",RADIAN GROUP INC,[NULL],notable,notable_tier1,"1,270.77",QUALITY_TOP5,4
20,"814,585",MBIA INC,[NULL],notable,notable_tier1,"1,232.92",QUALITY_TOP5,5
21,"1,652,044",Alphabet Inc.,GOOGL,MANUAL,TIER_PRIORITY,"999,999",GOOGLE_MANDATORY_MANUAL,0
