cik,name,report_year,docID,sentenceID,section_name,section_item,section_ID,form,sentence_index,sentence,SIC,filingDate,reportDate,temporal_bin,sample_created_at,last_modified_date,sample_version,source_file_path,load_method
0001273813,ASSURED GUARANTY LTD,2024,0001273813_10-K_2024,0001273813_10-K_2024_section_1_0,Business,ITEM_1,0,10-K,0,"Item 1 BUSINESS Overview Assured Guaranty Ltd. (AGL and, together with its subsidiaries, Assured Guaranty or the Company) is a Bermuda-based holding company that provides, through its wholly-owned operating subsidiaries, credit protection products to the United States (U.S.) and non-U.S. public finance (including infrastructure) and structured finance markets.",6351,2025-02-28,2024-12-31,bin_2021_2025,2025-10-27 15:24:53.704837,2025-10-27 15:24:53.704837,v2.1_combined_extraction,datasets\EXTRACTED_FILINGS\10-K\1273813_10K_2024_0001273813-25-000011.json,extract_and_convert
0001273813,ASSURED GUARANTY LTD,2024,0001273813_10-K_2024,0001273813_10-K_2024_section_1_1,Business,ITEM_1,0,10-K,1,Assured Guaranty also participates in the asset management business.,6351,2025-02-28,2024-12-31,bin_2021_2025,2025-10-27 15:24:53.704837,2025-10-27 15:24:53.704837,v2.1_combined_extraction,datasets\EXTRACTED_FILINGS\10-K\1273813_10K_2024_0001273813-25-000011.json,extract_and_convert
0001273813,ASSURED GUARANTY LTD,2024,0001273813_10-K_2024,0001273813_10-K_2024_section_1_2,Business,ITEM_1,0,10-K,2,"Through its insurance subsidiaries, the Company applies its credit underwriting judgment, risk management skills and capital markets experience primarily to offer financial guaranty insurance that protects holders of debt instruments and other monetary obligations from defaults in scheduled payments.",6351,2025-02-28,2024-12-31,bin_2021_2025,2025-10-27 15:24:53.704837,2025-10-27 15:24:53.704837,v2.1_combined_extraction,datasets\EXTRACTED_FILINGS\10-K\1273813_10K_2024_0001273813-25-000011.json,extract_and_convert
0001273813,ASSURED GUARANTY LTD,2024,0001273813_10-K_2024,0001273813_10-K_2024_section_1_3,Business,ITEM_1,0,10-K,3,"If an obligor defaults on a scheduled payment due on an obligation, including a scheduled principal or interest payment (collectively, debt service), the Company is required under its unconditional and irrevocable financial guaranty to pay the amount of the shortfall to the holder of the obligation.",6351,2025-02-28,2024-12-31,bin_2021_2025,2025-10-27 15:24:53.704837,2025-10-27 15:24:53.704837,v2.1_combined_extraction,datasets\EXTRACTED_FILINGS\10-K\1273813_10K_2024_0001273813-25-000011.json,extract_and_convert
0001273813,ASSURED GUARANTY LTD,2024,0001273813_10-K_2024,0001273813_10-K_2024_section_1_4,Business,ITEM_1,0,10-K,4,The Company markets,6351,2025-02-28,2024-12-31,bin_2021_2025,2025-10-27 15:24:53.704837,2025-10-27 15:24:53.704837,v2.1_combined_extraction,datasets\EXTRACTED_FILINGS\10-K\1273813_10K_2024_0001273813-25-000011.json,extract_and_convert
0001273813,ASSURED GUARANTY LTD,2024,0001273813_10-K_2024,0001273813_10-K_2024_section_1_5,Business,ITEM_1,0,10-K,5,its financial guaranty insurance directly to issuers and underwriters of public finance and structured finance securities as well as to investors in such obligations.,6351,2025-02-28,2024-12-31,bin_2021_2025,2025-10-27 15:24:53.704837,2025-10-27 15:24:53.704837,v2.1_combined_extraction,datasets\EXTRACTED_FILINGS\10-K\1273813_10K_2024_0001273813-25-000011.json,extract_and_convert
0001273813,ASSURED GUARANTY LTD,2024,0001273813_10-K_2024,0001273813_10-K_2024_section_1_6,Business,ITEM_1,0,10-K,6,"The Company guarantees obligations issued principally in the U.S. and the United Kingdom (U.K.), and also guarantees obligations issued in other countries and regions, including Western Europe.",6351,2025-02-28,2024-12-31,bin_2021_2025,2025-10-27 15:24:53.704837,2025-10-27 15:24:53.704837,v2.1_combined_extraction,datasets\EXTRACTED_FILINGS\10-K\1273813_10K_2024_0001273813-25-000011.json,extract_and_convert
0001273813,ASSURED GUARANTY LTD,2024,0001273813_10-K_2024,0001273813_10-K_2024_section_1_7,Business,ITEM_1,0,10-K,7,The Company also provides specialty insurance and reinsurance on transactions with risk profiles similar to those of its structured finance exposures written in financial guaranty form.,6351,2025-02-28,2024-12-31,bin_2021_2025,2025-10-27 15:24:53.704837,2025-10-27 15:24:53.704837,v2.1_combined_extraction,datasets\EXTRACTED_FILINGS\10-K\1273813_10K_2024_0001273813-25-000011.json,extract_and_convert
0001273813,ASSURED GUARANTY LTD,2024,0001273813_10-K_2024,0001273813_10-K_2024_section_1_8,Business,ITEM_1,0,10-K,8,"The Company participates in the asset management business through its ownership interest in Sound Point Capital Management, LP (Sound Point, LP) and certain of its investment management affiliates (together with Sound Point, LP, Sound Point), as described in greater detail under Item 1. Business - Asset Management - Strategic Transactions.",6351,2025-02-28,2024-12-31,bin_2021_2025,2025-10-27 15:24:53.704837,2025-10-27 15:24:53.704837,v2.1_combined_extraction,datasets\EXTRACTED_FILINGS\10-K\1273813_10K_2024_0001273813-25-000011.json,extract_and_convert
0001273813,ASSURED GUARANTY LTD,2024,0001273813_10-K_2024,0001273813_10-K_2024_section_1_9,Business,ITEM_1,0,10-K,9,"The Company continually evaluates its key business strategies, which fall into four areas: (i) insurance; (ii) asset management, (iii) alternative investments; and (iv) capital management.",6351,2025-02-28,2024-12-31,bin_2021_2025,2025-10-27 15:24:53.704837,2025-10-27 15:24:53.704837,v2.1_combined_extraction,datasets\EXTRACTED_FILINGS\10-K\1273813_10K_2024_0001273813-25-000011.json,extract_and_convert
