CIK,Company,Type,Date,complete_text_file_link,html_index,Filing Date,Period of Report,SIC,htm_file_link,State of Inc,State location,Fiscal Year End,filename
1018724,AMAZON COM INC,10-K,2025-02-07,https://www.sec.gov/Archives/edgar/data/1018724/0001018724-25-000004.txt,https://www.sec.gov/Archives/edgar/data/1018724/0001018724-25-000004-index.html,2025-02-07,2024-12-31,5961,https://www.sec.gov/Archives/edgar/data/1018724/000101872425000004/amzn-20241231.htm,DE,WA,1231,1018724_10K_2024_0001018724-25-000004.htm
104169,Walmart Inc.,10-K,2025-03-14,https://www.sec.gov/Archives/edgar/data/104169/0000104169-25-000021.txt,https://www.sec.gov/Archives/edgar/data/104169/0000104169-25-000021-index.html,2025-03-14,2025-01-31,5331,https://www.sec.gov/Archives/edgar/data/104169/000010416925000021/wmt-20250131.htm,DE,AR,0131,104169_10K_2025_0000104169-25-000021.htm
1045810,NVIDIA CORP,10-K,2025-02-26,https://www.sec.gov/Archives/edgar/data/1045810/0001045810-25-000023.txt,https://www.sec.gov/Archives/edgar/data/1045810/0001045810-25-000023-index.html,2025-02-26,2025-01-26,3674,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000023/nvda-20250126.htm,DE,CA,0126,1045810_10K_2025_0001045810-25-000023.htm
1065280,NETFLIX INC,10-K,2025-01-27,https://www.sec.gov/Archives/edgar/data/1065280/0001065280-25-000044.txt,https://www.sec.gov/Archives/edgar/data/1065280/0001065280-25-000044-index.html,2025-01-27,2024-12-31,7841,https://www.sec.gov/Archives/edgar/data/1065280/000106528025000044/nflx-20241231.htm,DE,CA,1231,1065280_10K_2024_0001065280-25-000044.htm
1141391,Mastercard Inc,10-K,2025-02-12,https://www.sec.gov/Archives/edgar/data/1141391/0001141391-25-000011.txt,https://www.sec.gov/Archives/edgar/data/1141391/0001141391-25-000011-index.html,2025-02-12,2024-12-31,7389,https://www.sec.gov/Archives/edgar/data/1141391/000114139125000011/ma-20241231.htm,DE,NY,1231,1141391_10K_2024_0001141391-25-000011.htm
1273813,ASSURED GUARANTY LTD,10-K,2025-02-28,https://www.sec.gov/Archives/edgar/data/1273813/0001273813-25-000011.txt,https://www.sec.gov/Archives/edgar/data/1273813/0001273813-25-000011-index.html,2025-02-28,2024-12-31,6351,https://www.sec.gov/Archives/edgar/data/1273813/000127381325000011/ago-20241231.htm,D0,D0,1231,1273813_10K_2024_0001273813-25-000011.htm
1276520,GENWORTH FINANCIAL INC,10-K,2025-02-28,https://www.sec.gov/Archives/edgar/data/1276520/0001193125-25-041860.txt,https://www.sec.gov/Archives/edgar/data/1276520/0001193125-25-041860-index.html,2025-02-28,2024-12-31,6311,https://www.sec.gov/Archives/edgar/data/1276520/000119312525041860/d869080d10k.htm,DE,VA,1231,1276520_10K_2024_0001193125-25-041860.htm
1318605,"Tesla, Inc.",10-K,2025-01-30,https://www.sec.gov/Archives/edgar/data/1318605/0001628280-25-003063.txt,https://www.sec.gov/Archives/edgar/data/1318605/0001628280-25-003063-index.html,2025-01-30,2024-12-31,3711,https://www.sec.gov/Archives/edgar/data/1318605/000162828025003063/tsla-20241231.htm,DE,TX,1231,1318605_10K_2024_0001628280-25-003063.htm
1326801,"Meta Platforms, Inc.",10-K,2025-01-30,https://www.sec.gov/Archives/edgar/data/1326801/0001326801-25-000017.txt,https://www.sec.gov/Archives/edgar/data/1326801/0001326801-25-000017-index.html,2025-01-30,2024-12-31,7370,https://www.sec.gov/Archives/edgar/data/1326801/000132680125000017/meta-20241231.htm,DE,CA,1231,1326801_10K_2024_0001326801-25-000017.htm
200406,JOHNSON & JOHNSON,10-K,2025-02-13,https://www.sec.gov/Archives/edgar/data/200406/0000200406-25-000038.txt,https://www.sec.gov/Archives/edgar/data/200406/0000200406-25-000038-index.html,2025-02-13,2024-12-29,2834,https://www.sec.gov/Archives/edgar/data/200406/000020040625000038/jnj-20241229.htm,NJ,NJ,1229,200406_10K_2024_0000200406-25-000038.htm
34088,EXXON MOBIL CORP,10-K,2025-02-19,https://www.sec.gov/Archives/edgar/data/34088/0000034088-25-000010.txt,https://www.sec.gov/Archives/edgar/data/34088/0000034088-25-000010-index.html,2025-02-19,2024-12-31,2911,https://www.sec.gov/Archives/edgar/data/34088/000003408825000010/xom-20241231.htm,NJ,TX,1231,34088_10K_2024_0000034088-25-000010.htm
59478,ELI LILLY & Co,10-K,2025-02-19,https://www.sec.gov/Archives/edgar/data/59478/0000059478-25-000067.txt,https://www.sec.gov/Archives/edgar/data/59478/0000059478-25-000067-index.html,2025-02-19,2024-12-31,2834,https://www.sec.gov/Archives/edgar/data/59478/000005947825000067/lly-20241231.htm,IN,IN,1231,59478_10K_2024_0000059478-25-000067.htm
813762,ICAHN ENTERPRISES L.P.,10-K,2025-02-26,https://www.sec.gov/Archives/edgar/data/813762/0001558370-25-001612.txt,https://www.sec.gov/Archives/edgar/data/813762/0001558370-25-001612-index.html,2025-02-26,2024-12-31,3714,https://www.sec.gov/Archives/edgar/data/813762/000155837025001612/tmb-20241231x10k.htm,DE,FL,1231,813762_10K_2024_0001558370-25-001612.htm
814585,MBIA INC,10-K,2025-02-27,https://www.sec.gov/Archives/edgar/data/814585/0000950170-25-029081.txt,https://www.sec.gov/Archives/edgar/data/814585/0000950170-25-029081-index.html,2025-02-27,2024-12-31,6351,https://www.sec.gov/Archives/edgar/data/814585/000095017025029081/mbi-20241231.htm,CT,NY,1231,814585_10K_2024_0000950170-25-029081.htm
890926,RADIAN GROUP INC,10-K,2025-02-14,https://www.sec.gov/Archives/edgar/data/890926/0000950170-25-021241.txt,https://www.sec.gov/Archives/edgar/data/890926/0000950170-25-021241-index.html,2025-02-14,2024-12-31,6351,https://www.sec.gov/Archives/edgar/data/890926/000095017025021241/rdn-20241231.htm,DE,PA,1231,890926_10K_2024_0000950170-25-021241.htm
1341439,ORACLE CORP,10-K,2025-06-18,https://www.sec.gov/Archives/edgar/data/1341439/0000950170-25-087926.txt,https://www.sec.gov/Archives/edgar/data/1341439/0000950170-25-087926-index.html,2025-06-18,2025-05-31,7372,https://www.sec.gov/Archives/edgar/data/1341439/000095017025087926/orcl-20250531.htm,,TX,0531,1341439_10K_2025_0000950170-25-087926.htm
789019,MICROSOFT CORP,10-K,2025-07-30,https://www.sec.gov/Archives/edgar/data/789019/0000950170-25-100235.txt,https://www.sec.gov/Archives/edgar/data/789019/0000950170-25-100235-index.html,2025-07-30,2025-06-30,7372,https://www.sec.gov/Archives/edgar/data/789019/000095017025100235/msft-20250630.htm,WA,WA,0630,789019_10K_2025_0000950170-25-100235.htm
909832,COSTCO WHOLESALE CORP /NEW,10-K,2025-10-08,https://www.sec.gov/Archives/edgar/data/909832/0000909832-25-000101.txt,https://www.sec.gov/Archives/edgar/data/909832/0000909832-25-000101-index.html,2025-10-08,2025-08-31,5331,https://www.sec.gov/Archives/edgar/data/909832/000090983225000101/cost-20250831.htm,WA,WA,0831,909832_10K_2025_0000909832-25-000101.htm
